 format: day,hour,forecast,value  location:53_32 Start : 20210701 
 1,0200,+6,23.000000 
 1,0200,+7,24.000000 
 1,0500,+6,23.000000 
 1,0500,+7,24.000000 
 1,0800,+6,23.000000 
 1,0800,+7,24.000000 
 1,0800,+8,25.000000 
 1,1100,+6,23.000000 
 1,1100,+7,24.000000 
 1,1100,+8,25.000000 
 1,1400,+6,23.000000 
 1,1400,+7,24.000000 
 1,1400,+8,25.000000 
 1,1700,+6,23.000000 
 1,1700,+7,24.000000 
 1,1700,+8,25.000000 
 1,2000,+6,24.000000 
 1,2000,+7,25.000000 
 1,2300,+6,24.000000 
 1,2300,+7,25.000000 
 Start : 20210702 
 2,0200,+6,24.000000 
 2,0200,+7,25.000000 
 2,0500,+6,24.000000 
 2,0500,+7,25.000000 
 2,0800,+6,24.000000 
 2,0800,+7,24.000000 
 2,0800,+8,24.000000 
 2,1100,+6,24.000000 
 2,1100,+7,24.000000 
 2,1100,+8,24.000000 
 2,1400,+6,24.000000 
 2,1400,+7,24.000000 
 2,1400,+8,24.000000 
 2,1700,+6,24.000000 
 2,1700,+7,24.000000 
 2,1700,+8,24.000000 
 2,2000,+6,24.000000 
 2,2000,+7,24.000000 
 2,2300,+6,24.000000 
 2,2300,+7,24.000000 
 Start : 20210703 
 3,0200,+6,24.000000 
 3,0200,+7,24.000000 
 3,0500,+6,24.000000 
 3,0500,+7,24.000000 
 3,0800,+6,25.000000 
 3,0800,+7,25.000000 
 3,0800,+8,25.000000 
 3,1100,+6,25.000000 
 3,1100,+7,25.000000 
 3,1100,+8,25.000000 
 3,1400,+6,25.000000 
 3,1400,+7,25.000000 
 3,1400,+8,25.000000 
 3,1700,+6,25.000000 
 3,1700,+7,25.000000 
 3,1700,+8,25.000000 
 3,2000,+6,25.000000 
 3,2000,+7,26.000000 
 3,2300,+6,25.000000 
 3,2300,+7,26.000000 
 Start : 20210704 
 4,0200,+6,25.000000 
 4,0200,+7,26.000000 
 4,0500,+6,25.000000 
 4,0500,+7,26.000000 
 4,0800,+6,25.000000 
