 format: day,hour,forecast,value  location:53_37 Start : 20210701 
1,200,6,28
1,200,7,27
1,200,8,26
1,500,6,27
1,500,7,26
1,800,6,27
1,800,7,27
1,800,8,27
1,1100,6,27
1,1100,7,27
1,1100,8,27
1,1400,6,27
1,1400,7,27
1,1400,8,27
1,1700,6,27
1,1700,7,27
1,1700,8,27
1,2000,6,27
1,2000,7,27
1,2000,8,27
1,2300,6,27
1,2300,7,27
1,2300,8,27
 Start : 20210702 ,,,
2,200,6,27
2,200,7,27
2,200,8,27
2,500,6,27
2,500,7,27
2,800,6,28
2,800,7,28
2,800,8,26
2,1100,6,28
2,1100,7,28
2,1100,8,26
2,1400,6,28
2,1400,7,28
2,1400,8,26
2,1700,6,28
2,1700,7,28
2,1700,8,26
2,2000,6,28
2,2000,7,27
2,2000,8,27
2,2300,6,28
2,2300,7,27
2,2300,8,27
 Start : 20210703 ,,,
3,200,6,28
3,200,7,27
3,200,8,27
3,500,6,27
3,500,7,27
3,800,6,27
3,800,7,28
3,800,8,29
3,1100,6,27
3,1100,7,28
3,1100,8,29
3,1400,6,27
3,1400,7,28
3,1400,8,29
3,1700,6,27
3,1700,7,28
3,1700,8,29
3,2000,6,26
3,2000,7,27
3,2000,8,29
3,2300,6,26
3,2300,7,27
3,2300,8,29
 Start : 20210704 ,,,
4,200,6,26
4,200,7,27
4,200,8,29
4,500,6,27
4,500,7,29
4,800,6,27
4,800,7,29
4,800,8,29
4,1100,6,27
4,1100,7,29
4,1100,8,29
4,1400,6,27
4,1400,7,29
4,1400,8,29
4,1700,6,27
4,1700,7,29
4,1700,8,29
4,2000,6,29
4,2000,7,28
4,2000,8,29
4,2300,6,29
4,2300,7,28
4,2300,8,29
 Start : 20210705 ,,,
5,200,6,29
5,200,7,28
5,200,8,29
5,500,6,28
5,500,7,29
5,800,6,28
5,800,7,29
5,800,8,29
5,1100,6,28
5,1100,7,29
5,1100,8,29
5,1400,6,28
5,1400,7,29
5,1400,8,29
5,1700,6,28
5,1700,7,29
5,1700,8,29
5,2000,6,28
5,2000,7,29
5,2000,8,29
5,2300,6,28
5,2300,7,29
5,2300,8,29
 Start : 20210706 ,,,
6,200,6,28
6,200,7,29
6,200,8,29
6,500,6,29
6,500,7,29
6,800,6,29
6,800,7,29
6,800,8,29
6,1100,6,29
6,1100,7,29
6,1100,8,29
6,1400,6,29
6,1400,7,29
6,1400,8,29
6,1700,6,29
6,1700,7,29
6,1700,8,29
6,2000,6,29
6,2000,7,28
6,2000,8,29
6,2300,6,29
6,2300,7,28
6,2300,8,29
 Start : 20210707 ,,,
7,200,6,29
7,200,7,28
7,200,8,29
7,500,6,28
7,500,7,29
7,800,6,28
7,800,7,28
7,800,8,29
7,1100,6,28
7,1100,7,28
7,1100,8,29
7,1400,6,28
7,1400,7,28
7,1400,8,29
7,1700,6,28
7,1700,7,28
7,1700,8,29
7,2000,6,29
7,2000,7,28
7,2000,8,29
7,2300,6,29
7,2300,7,28
7,2300,8,29
 Start : 20210708 ,,,
8,200,6,29
8,200,7,28
8,200,8,29
8,500,6,28
8,500,7,29
8,800,6,29
8,800,7,29
8,800,8,30
8,1100,6,29
8,1100,7,29
8,1100,8,30
8,1400,6,29
8,1400,7,29
8,1400,8,30
8,1700,6,29
8,1700,7,29
8,1700,8,30
8,2000,6,28
8,2000,7,29
8,2000,8,30
8,2300,6,28
8,2300,7,29
8,2300,8,30
 Start : 20210709 ,,,
9,200,6,28
9,200,7,29
9,200,8,30
9,500,6,29
9,500,7,30
9,800,6,30
9,800,7,30
9,800,8,32
9,1100,6,30
9,1100,7,30
9,1100,8,32
9,1400,6,30
9,1400,7,30
9,1400,8,32
9,1700,6,30
9,1700,7,30
9,1700,8,32
9,2000,6,30
9,2000,7,30
9,2000,8,31
9,2300,6,30
9,2300,7,30
9,2300,8,31
 Start : 20210710 ,,,
10,200,6,30
10,200,7,30
10,200,8,31
10,500,6,30
10,500,7,31
10,800,6,31
10,800,7,32
10,800,8,31
10,1100,6,31
10,1100,7,32
10,1100,8,31
10,1400,6,31
10,1400,7,32
10,1400,8,31
10,1700,6,31
10,1700,7,32
10,1700,8,31
10,2000,6,31
10,2000,7,32
10,2000,8,31
10,2300,6,31
10,2300,7,32
10,2300,8,31
 Start : 20210711 ,,,
11,200,6,31
11,200,7,32
11,200,8,31
11,500,6,32
11,500,7,31
11,800,6,31
11,800,7,31
11,800,8,30
11,1100,6,31
11,1100,7,31
11,1100,8,30
11,1400,6,31
11,1400,7,31
11,1400,8,30
11,1700,6,31
11,1700,7,31
11,1700,8,30
11,2000,6,31
11,2000,7,31
11,2000,8,30
11,2300,6,31
11,2300,7,31
11,2300,8,30
 Start : 20210712 ,,,
12,200,6,31
12,200,7,31
12,200,8,30
12,500,6,31
12,500,7,30
12,800,6,31
12,800,7,30
12,800,8,30
12,1100,6,31
12,1100,7,30
12,1100,8,30
12,1400,6,31
12,1400,7,30
12,1400,8,30
12,1700,6,31
12,1700,7,30
12,1700,8,30
12,2000,6,30
12,2000,7,30
12,2000,8,30
12,2300,6,30
12,2300,7,30
12,2300,8,30
 Start : 20210713 ,,,
13,200,6,30
13,200,7,30
13,200,8,30
13,500,6,30
13,500,7,30
13,800,6,30
13,800,7,31
13,800,8,30
13,1100,6,30
13,1100,7,31
13,1100,8,30
13,1400,6,30
13,1400,7,31
13,1400,8,30
13,1700,6,30
13,1700,7,31
13,1700,8,30
13,2000,6,30
13,2000,7,31
13,2000,8,29
13,2300,6,30
13,2300,7,31
13,2300,8,29
 Start : 20210714 ,,,
14,200,6,30
14,200,7,31
14,200,8,29
14,500,6,31
14,500,7,29
14,800,6,30
14,800,7,30
14,800,8,28
14,1100,6,30
14,1100,7,30
14,1100,8,28
14,1400,6,30
14,1400,7,30
14,1400,8,28
14,1700,6,30
14,1700,7,30
14,1700,8,28
14,2000,6,30
14,2000,7,29
14,2000,8,28
14,2300,6,30
14,2300,7,29
14,2300,8,28
 Start : 20210715 ,,,
15,200,6,30
15,200,7,29
15,200,8,28
15,500,6,29
15,500,7,28
15,800,6,29
15,800,7,28
15,800,8,28
15,1100,6,29
15,1100,7,28
15,1100,8,28
15,1400,6,29
15,1400,7,28
15,1400,8,28
15,1700,6,29
15,1700,7,28
15,1700,8,28
15,2000,6,29
15,2000,7,29
15,2000,8,28
15,2300,6,29
15,2300,7,29
15,2300,8,28
 Start : 20210716 ,,,
16,200,6,29
16,200,7,29
16,200,8,28
16,500,6,29
16,500,7,28
16,800,6,28
16,800,7,29
16,800,8,30
16,1100,6,28
16,1100,7,29
16,1100,8,30
16,1400,6,28
16,1400,7,29
16,1400,8,30
16,1700,6,28
16,1700,7,29
16,1700,8,30
16,2000,6,29
16,2000,7,29
16,2000,8,30
