날짜,일,강수확률
2021-01-01,1,30
2021-01-02,2,30
2021-01-03,3,30
2021-01-04,4,0
2021-01-05,5,30
2021-01-06,6,30
2021-01-07,7,90
2021-01-08,8,90
2021-01-09,9,80
2021-01-10,10,30
2021-01-11,11,80
2021-01-12,12,30
2021-01-13,13,0
2021-01-14,14,0
2021-01-15,15,20
2021-01-16,16,30
2021-01-17,17,30
2021-01-18,18,0
2021-01-19,19,0
2021-01-20,20,20
2021-01-21,21,30
2021-01-22,22,20
2021-01-23,23,80
2021-01-24,24,20
2021-01-25,25,20
2021-01-26,26,60
2021-01-27,27,10
2021-01-28,28,60
2021-01-29,29,30
2021-01-30,30,0
2021-01-31,31,30
2021-02-01,1,80
2021-02-02,2,20
2021-02-03,3,0
2021-02-04,4,20
2021-02-05,5,30
2021-02-06,6,0
2021-02-07,7,0
2021-02-08,8,10
2021-02-09,9,0
2021-02-10,10,20
2021-02-11,11,20
2021-02-12,12,30
2021-02-13,13,0
2021-02-14,14,70
2021-02-15,15,20
2021-02-16,16,60
2021-02-17,17,60
2021-02-18,18,30
2021-02-19,19,0
2021-02-20,20,0
2021-02-21,21,0
2021-02-22,22,0
2021-02-23,23,20
2021-02-24,24,20
2021-02-25,25,70
2021-02-26,26,60
2021-02-27,27,20
2021-02-28,28,60
2021-03-01,1,63
2021-03-02,2,0
2021-03-03,3,20
2021-03-04,4,80
2021-03-05,5,20
2021-03-06,6,30
2021-03-07,7,30
2021-03-08,8,20
2021-03-09,9,30
2021-03-10,10,0
2021-03-11,11,30
2021-03-12,12,30
2021-03-13,13,0
2021-03-14,14,0
2021-03-15,15,30
2021-03-16,16,0
2021-03-17,17,0
2021-03-18,18,20
2021-03-19,19,30
2021-03-20,20,60
2021-03-21,21,10
2021-03-22,22,0
2021-03-23,23,0
2021-03-24,24,30
2021-03-25,25,0
2021-03-26,26,0
2021-03-27,27,90
2021-03-28,28,0
2021-03-29,29,0
2021-03-30,30,0
2021-03-31,31,20
2021-04-01,1,60
