 format: day,hour,forecast,value  location:53_32 Start : 20210101 
1,200,4,9
1,200,7,11
1,200,10,10
1,500,4,11
1,500,7,10
1,800,4,11
1,800,7,10
1,1100,4,11
1,1100,7,10
1,1400,4,11
1,1400,7,10
1,1700,4,11
1,1700,7,10
1,2000,4,11
1,2000,7,10
1,2000,10,12
1,2300,4,11
1,2300,7,10
1,2300,10,12
2,200,4,11
2,200,7,10
2,200,10,12
2,500,4,10
2,500,7,12
2,800,4,10
2,800,7,12
2,1100,4,10
2,1100,7,12
2,1400,4,10
2,1400,7,12
2,1700,4,10
2,1700,7,12
2,2000,4,10
2,2000,7,12
2,2000,10,11
2,2300,4,10
2,2300,7,12
2,2300,10,11
3,200,4,10
3,200,7,12
3,200,10,11
3,500,4,12
3,500,7,11
3,800,4,12
3,800,7,12
3,1100,4,12
3,1100,7,12
3,1400,4,12
3,1400,7,12
3,1700,4,12
3,1700,7,12
3,2000,4,12
3,2000,7,12
3,2000,10,8
3,2300,4,12
3,2300,7,12
3,2300,10,8
4,200,4,12
4,200,7,12
4,200,10,8
4,500,4,12
4,500,7,8
4,800,4,11
4,800,7,8
4,1100,4,11
4,1100,7,8
4,1400,4,11
4,1400,7,8
4,1700,4,11
4,1700,7,8
4,2000,4,11
4,2000,7,8
4,2000,10,3
4,2300,4,11
4,2300,7,8
4,2300,10,3
5,200,4,11
5,200,7,8
5,200,10,3
5,500,4,8
5,500,7,3
5,800,4,9
5,800,7,3
5,1100,4,9
5,1100,7,3
5,1400,4,9
5,1400,7,3
5,1700,4,9
5,1700,7,3
5,2000,4,9
5,2000,7,3
5,2000,10,4
5,2300,4,9
5,2300,7,3
5,2300,10,4
6,200,4,9
6,200,7,3
6,200,10,4
6,500,4,3
6,500,7,4
6,800,4,3
6,800,7,4
6,1100,4,3
6,1100,7,4
6,1400,4,3
6,1400,7,4
6,1700,4,3
6,1700,7,4
6,2000,4,3
6,2000,7,3
6,2000,10,5
6,2300,4,3
6,2300,7,3
6,2300,10,5
7,200,4,3
7,200,7,3
7,200,10,5
7,500,4,3
7,500,7,5
7,800,4,1
7,800,7,5
7,1100,4,1
7,1100,7,5
7,1400,4,1
7,1400,7,5
7,1700,4,1
7,1700,7,5
7,2000,4,1
7,2000,7,5
7,2000,10,8
7,2300,4,1
7,2300,7,5
7,2300,10,8
8,200,4,1
8,200,7,5
8,200,10,8
8,500,4,5
8,500,7,8
8,800,4,6
8,800,7,8
8,1100,4,6
8,1100,7,8
8,1400,4,6
8,1400,7,8
8,1700,4,6
8,1700,7,8
8,2000,4,5
8,2000,7,8
8,2000,10,8
8,2300,4,5
8,2300,7,8
8,2300,10,8
9,200,4,5
9,200,7,8
9,200,10,8
9,500,4,8
9,500,7,8
9,800,4,8
9,800,7,9
9,1100,4,8
9,1100,7,9
9,1400,4,8
9,1400,7,9
9,1700,4,8
9,1700,7,9
9,2000,4,8
9,2000,7,8
